Authors,Gas holdup,Column diameter (m),Liquid height (m),Sparger hole diameter (m),Density of gas (kg/m3),Viscosity of gas (Pa.s),Density of liquid (kg/m3),Viscosity of liquid (Pa.s),Surface tension of liquid (N/m),Superficial gas velocity (m/s)
Andreini et al. 1977,0.024577863,0.0635,0.15,0.001,0.772161144,3.99E-05,10650,0.0024,0.44414,0.001829553
Andreini et al. 1977,0.030959802,0.0635,0.15,0.001,0.772161144,3.99E-05,10650,0.0024,0.44414,0.002314031
Andreini et al. 1977,0.038850156,0.0635,0.15,0.001,0.772161144,3.99E-05,10650,0.0024,0.44414,0.002939749
Andreini et al. 1977,0.046670269,0.0635,0.15,0.001,0.772161144,3.99E-05,10650,0.0024,0.44414,0.003565149
Andreini et al. 1977,0.058140076,0.0635,0.15,0.001,0.772161144,3.99E-05,10650,0.0024,0.44414,0.004545754
Andreini et al. 1977,0.068285063,0.0635,0.15,0.001,0.772161144,3.99E-05,10650,0.0024,0.44414,0.005483995
Andreini et al. 1977,0.078602241,0.0635,0.15,0.001,0.772161144,3.99E-05,10650,0.0024,0.44414,0.006463472
Andreini et al. 1977,0.086653259,0.0635,0.15,0.001,0.772161144,3.99E-05,10650,0.0024,0.44414,0.007297331
Andreini et al. 1977,0.007008274,0.0635,0.15,0.00075,0.772161144,3.99E-05,10650,0.0024,0.44414,0.000411639
Andreini et al. 1977,0.013880922,0.0635,0.15,0.00075,0.772161144,3.99E-05,10650,0.0024,0.44414,0.000868516
Andreini et al. 1977,0.021130246,0.0635,0.15,0.00075,0.772161144,3.99E-05,10650,0.0024,0.44414,0.00138305
Andreini et al. 1977,0.027533258,0.0635,0.15,0.00075,0.772161144,3.99E-05,10650,0.0024,0.44414,0.001827575
Andreini et al. 1977,0.033870967,0.0635,0.15,0.00075,0.772161144,3.99E-05,10650,0.0024,0.44414,0.002290006
Andreini et al. 1977,0.039239591,0.0635,0.15,0.00075,0.772161144,3.99E-05,10650,0.0024,0.44414,0.00269883
Andreini et al. 1977,0.048501798,0.0635,0.15,0.00075,0.772161144,3.99E-05,10650,0.0024,0.44414,0.003473266
Andreini et al. 1977,0.055757194,0.0635,0.15,0.00075,0.772161144,3.99E-05,10650,0.0024,0.44414,0.004087701
Andreini et al. 1977,0.064187287,0.0635,0.15,0.00075,0.772161144,3.99E-05,10650,0.0024,0.44414,0.004840924
Andreini et al. 1977,0.046060805,0.0635,0.15,0.0005,0.772161144,3.99E-05,10650,0.0024,0.44414,0.00320606
Andreini et al. 1977,0.040309146,0.0635,0.15,0.0005,0.772161144,3.99E-05,10650,0.0024,0.44414,0.002729516
Andreini et al. 1977,0.034410078,0.0635,0.15,0.0005,0.772161144,3.99E-05,10650,0.0024,0.44414,0.002270933
Andreini et al. 1977,0.028056099,0.0635,0.15,0.0005,0.772161144,3.99E-05,10650,0.0024,0.44414,0.001790211
Andreini et al. 1977,0.023875032,0.0635,0.15,0.0005,0.772161144,3.99E-05,10650,0.0024,0.44414,0.001502558
Andreini et al. 1977,0.019274927,0.0635,0.15,0.0005,0.772161144,3.99E-05,10650,0.0024,0.44414,0.001192635
Andreini et al. 1977,0.014535135,0.0635,0.15,0.0005,0.772161144,3.99E-05,10650,0.0024,0.44414,0.000872493
