Column diameter (m),Liquid height (m),Sparger hole diameter (m),Density of gas (kg/m3),Viscosity of gas (Pa.s),Density of liquid (kg/m3),Viscosity of liquid (Pa.s),Surface tension of liquid (N/m),Superficial gas velocity (m/s),Gas holdup
0.392342648,1.221328202,0.0003,1.578351154,1.85E-05,684,0.0002946,0.024332583,0.014444857,0.056504856
0.327749869,1.19834388,0.001058648,1.651485633,1.84E-05,992.3595436,0.0002946,0.070691335,0.099256414,0.044415534
0.142767745,0.842955347,0.0003,0.896568481,1.84E-05,992.1452845,0.0002946,0.030696684,0.0003,0
0.164400789,0.485847924,0.001626339,1.49724933,1.84E-05,998.5577097,0.0002946,0.071852929,0.054986999,0.051461634
0.248767865,1.018971174,0.000911553,1.418441394,1.81E-05,963.5420493,0.000807159,0.072248341,0.0003,0.25823775
0.09,1.695025226,0.043825309,6.071404969,1.84E-05,997.4012994,0.001211023,0.072054826,0.02062667,0.202300973
0.283558675,1.559818219,0.000687226,1.18745316,1.84E-05,998.7869406,0.0002946,0.071340907,0.0003,0.054376885
0.141498609,1.414423755,0.00125749,1.430068923,1.84E-05,997.8672959,0.0002946,0.071956288,0.030752923,0.090646211
0.15178883,1.104233207,0.000722757,1.506331609,1.81E-05,952.7065361,0.001808812,0.071684716,0.0003,0.17257762
0.380312645,1.401419491,0.0003,1.297552749,1.80E-05,1063.716965,0.000936664,0.071191799,0.016424193,0.226741256
0.15670837,0.390029576,0.001925989,1.09265861,1.80E-05,998.6531772,0.000450982,0.025079795,0.0003,0.048117312
0.393391848,0.477346578,0.001367428,1.336992999,1.83E-05,861.3662004,0.001280882,0.072393567,0.0003,0.148611439
0.174104128,1.847263099,0.022128057,1.22032034,1.84E-05,993.9188331,0.0002946,0.071165616,0.044111665,0.092422816
0.1388093,0.439186684,0.002194088,1.569172906,1.80E-05,1000.620267,0.001049201,0.071717461,0.007472075,0.175355138
0.398548869,1.833335843,0.000886613,1.19640548,1.84E-05,934.7366192,0.001138706,0.030679676,0.020976872,0.008544545
0.176423161,1.649338369,0.0003,1.4259293,1.81E-05,993.673716,0.0002946,0.026109949,0.0003,0.121319743
0.309346914,1.129905672,0.000376092,1.334318929,1.81E-05,999.1700504,0.0002946,0.029518168,0.010514228,0.179899276
0.399788644,1.68415073,0.0003,1.40906491,1.81E-05,997.559319,0.0002946,0.072230562,0.135394609,0.018257776
0.392713927,1.346220731,0.002664686,1.568294552,1.84E-05,994.7860498,0.001073356,0.07124114,0.006886715,0.102658075
0.263798063,0.818851613,0.0003,1.145695661,1.80E-05,996.3300613,0.0002946,0.071602322,0.0003,0.277389027
0.159254241,0.663137245,0.001501163,1.360327896,1.82E-05,1015.328583,0.0002946,0.070723661,0.152340862,0
0.225282234,0.204073358,0.0003,1.294411853,1.84E-05,997.3920363,0.0002946,0.07008658,0.139634982,0.055578059
0.29440581,0.505522826,0.000354945,1.494005718,1.80E-05,998.341867,0.0002946,0.022467925,0.027686976,0.184708121
0.17649554,1.302826262,0.0003,1.245452992,1.84E-05,994.4466827,0.0002946,0.05940042,0.0003,0.206777299
0.387743915,1.674322707,0.021613485,1.246754596,1.81E-05,999.0759959,0.000540554,0.071566964,0.000869921,0.043703803
0.149765695,1.586004348,0.000649228,1.182120046,1.81E-05,848.1862092,0.000745405,0.071941691,0.0003,0.150632607
0.167065575,0.204073358,0.002085258,1.168140448,1.81E-05,999.6570153,0.001501286,0.072244942,0.0003,0.239123283
0.156684986,1.07358163,0.001751708,1.505564653,1.84E-05,996.6895648,0.000967309,0.070945621,0.084204337,0.111295327
0.216162428,0.231667468,0.0003,1.466424611,1.81E-05,996.6965859,0.001193444,0.071505902,0.015588555,0.046915662
0.09,0.242443317,0.0003,1.432951632,1.74E-05,995.0197481,0.001645975,0.072233396,0.077265292,0.152951458
0.333163454,0.729316642,0.001756652,1.645558975,1.82E-05,991.6864216,0.00061638,0.071152878,0.006399201,0.031529015
0.156581797,0.342083511,0.0003,6.062939019,1.82E-05,996.5611243,0.0002946,0.072168645,0.039173294,0.055534048
0.355048623,0.289437446,0.000411086,1.422278364,1.84E-05,995.3499011,0.0002946,0.069776259,0.178779887,0.029675614
0.207153944,0.204073358,0.001335455,1.217885092,1.82E-05,996.9386838,0.0002946,0.048523593,0.041304247,0.049410287
0.380789855,1.119049082,0.000777216,1.397294149,1.81E-05,849.1971738,0.001157839,0.057040594,0.0003,0.190943635
0.125196681,1.183880316,0.000650412,1.179352945,1.81E-05,684,0.0002946,0.030445255,0.092015378,0.020116899
0.178777646,0.555285377,0.002250472,1.212899019,1.71E-05,1001.451181,0.000852863,0.071239884,0.184364653,0.101389881
0.379828469,0.204073358,0.000952359,1.608930259,1.81E-05,997.3140743,0.001388824,0.032238218,0.114892998,0
0.285293887,0.45971269,0.000598381,1.229792999,1.84E-05,992.2075249,0.0002946,0.051452692,0.0003,0.156178318
0.288214917,2.302226472,0.004199344,1.425855661,1.84E-05,1026.328242,0.0002946,0.023392232,0.0003,0.116991381
0.28443697,1.341621466,0.001258256,1.211308164,1.82E-05,997.2003514,0.001289941,0.070962347,0.0003,0.103636759
0.397294314,0.204073358,0.0003,1.290857522,1.84E-05,684,0.000446473,0.07214968,0.0003,0
0.38876735,0.227685485,0.001386684,89.42022999,1.84E-05,714.4696653,0.0002946,0.07152504,0.003239948,0.018373519
0.151575394,2.045229535,0.000409406,1.418224367,2.11E-05,1003.017486,0.000362804,0.066593168,0.282326728,0.36420288
0.375007445,0.204073358,0.0003,8.708087333,1.84E-05,1002.663402,0.000599264,0.081611427,0.227228841,0
0.296682521,0.24568127,0.0003,1.264271456,1.81E-05,994.3912881,0.00086535,0.070841199,0.027020585,0.185242572
