Column diameter (m),Liquid height (m),Sparger hole diameter (m),Density of gas (kg/m3),Viscosity of gas (Pa.s),Density of liquid (kg/m3),Viscosity of liquid (Pa.s),Surface tension of liquid (N/m),Superficial gas velocity (m/s),Gas holdup
0.17065746,1.2199793,0.013548845,0.082899995,1.91E-05,948.5477,0.0002946,0.07126705,0.04033722,0.13976313
0.28618276,0.7612155,0.005515748,1.5794083,1.79E-05,971.45197,0.0002946,0.066615514,0.083215795,0.15997656
0.18769215,1.4626937,0.002412833,0.9786608,1.80E-05,1086.6195,0.0002946,0.06732822,0.053651094,0.16999942
0.2435541,1.1271523,0.000950183,0.082899995,1.81E-05,1007.539,0.0002946,0.06716474,0.082095705,0.16441749
0.14667414,1.607362,0.003532668,3.1935902,1.81E-05,1045.6965,0.0002946,0.07011533,0.062811986,0.16533917
0.2507577,1.413233,0.009497574,0.082899995,1.78E-05,943.2699,0.046084557,0.07090313,0.034246285,0.13061792
0.261565,1.2357711,0.009299246,1.8222573,1.76E-05,992.2095,0.0002946,0.07433013,0.028599547,0.12768407
0.20186572,1.2514421,0.009924178,4.4623337,1.89E-05,970.4251,0.0002946,0.06344805,0.09397338,0.101341486
0.24599613,1.1498349,0.003715037,0.082899995,1.82E-05,949.84686,0.0002946,0.0695382,0.05749935,0.18879616
0.22237301,1.255384,0.011253116,4.488219,1.77E-05,969.6344,0.007228293,0.066848874,0.06724153,0.16586305
0.15877667,1.8847476,0.003180668,0.082899995,1.72E-05,962.5331,0.006973913,0.06941516,0.0734166,0.16587836
0.26201257,1.3713447,0.001529762,0.60229397,1.86E-05,922.2148,0.005689537,0.06547655,0.07718981,0.12659073
0.15558259,1.1040622,0.005997502,0.082899995,1.78E-05,982.37427,0.004487514,0.071552746,0.06608315,0.14074385
0.31055716,1.777408,0.002499692,0.082899995,1.72E-05,1019.38873,0.0002946,0.07229991,0.07099407,0.14198978
0.1965714,1.5413318,0.002028131,0.082899995,1.81E-05,990.8574,0.0002946,0.07002944,0.0781349,0.17765139
0.18829171,1.4793887,0.009989533,0.082899995,1.76E-05,985.51544,0.010291107,0.06872346,0.03519074,0.11590268
0.17017338,1.9086697,0.005620209,0.082899995,1.73E-05,970.05164,0.0002946,0.07127956,0.054351997,0.1321828
0.21477203,0.9580836,0.004822019,0.082899995,1.84E-05,971.3257,0.011972507,0.069089174,0.11005502,0.11890657
0.21581097,1.3118061,0.006674709,0.8533364,1.81E-05,988.06323,0.018288301,0.06689544,0.032464016,0.15520388
0.2352387,1.4127767,0.002962809,0.082899995,1.86E-05,965.93506,0.0002946,0.067685895,0.08429838,0.15557508
0.20255806,1.557911,0.013873797,0.082899995,1.76E-05,906.5409,0.0002946,0.07183293,0.059486523,0.12797086
0.23617995,1.6448426,0.008195534,2.5517108,1.87E-05,955.8421,0.0002946,0.06470997,0.07144023,0.18496619
0.21008638,1.3182036,0.000720788,4.9931164,1.88E-05,932.741,0.0002946,0.06797885,0.077020474,0.15638804
0.26520774,1.1812645,0.008467282,0.082899995,1.81E-05,992.6849,0.0002946,0.06318549,0.08351635,0.13514179
0.25345448,1.1080062,0.0003,0.082899995,1.79E-05,990.12244,0.0002946,0.06961159,0.07003746,0.16284166
0.2152139,1.8181771,0.006606801,0.082899995,1.78E-05,957.59357,0.007767353,0.070786044,0.08166381,0.15315203
0.17798255,1.5237048,0.01077113,0.082899995,1.74E-05,1016.5814,0.0002946,0.065046996,0.066880986,0.1644097
0.25592983,1.6994663,0.003588371,0.082899995,1.76E-05,969.9911,0.0002946,0.070133425,0.041339792,0.111919254
0.17606924,0.6298303,0.011496075,3.1280153,1.68E-05,946.2431,0.021513952,0.06341725,0.050586764,0.13952617
0.28925008,1.8476021,0.009712109,1.9980466,1.76E-05,969.1889,0.005592584,0.0669483,0.07813547,0.16161251
0.17617223,1.7095989,0.004350614,0.082899995,1.83E-05,987.16473,0.0002946,0.06991186,0.071069844,0.11987521
0.22217184,1.3853114,0.006025004,3.8161285,1.78E-05,978.7579,0.0002946,0.06994015,0.07203114,0.13748641
0.27879143,1.0616616,0.0003,0.082899995,1.79E-05,1002.4456,0.0002946,0.06668225,0.06113924,0.17487015
0.2589909,1.0706669,0.005497265,0.082899995,1.71E-05,956.92804,0.006532514,0.063514516,0.09677691,0.16998446
0.2687641,1.3142635,0.006078525,5.452121,1.80E-05,981.1043,0.0002946,0.06516604,0.097625054,0.15488434
0.1235444,0.9491266,0.003004754,1.0707889,1.73E-05,976.7633,0.0002946,0.06594857,0.088273406,0.16933548
0.15404212,1.7195723,0.004223653,0.088407695,1.81E-05,1011.8558,0.0002946,0.06704988,0.07402194,0.1663796
0.28008977,1.6369702,0.00732564,1.5839417,1.76E-05,1045.1143,0.0002946,0.07219819,0.04998292,0.15653628
0.20803979,1.7897497,0.001607612,0.082899995,1.81E-05,937.12915,0.014492828,0.069906116,0.06956299,0.1654574
0.17950699,1.4509631,0.008136977,0.082899995,1.82E-05,955.70966,0.0002946,0.06966343,0.061724786,0.14118712
0.20812552,1.438231,0.004515812,6.215057,1.80E-05,950.073,0.0002946,0.06676186,0.09868431,0.18047474
0.21766429,1.288779,0.006764677,0.082899995,1.81E-05,963.19147,0.0002946,0.06425634,0.10212772,0.16051115
0.22161013,1.1384624,0.009365986,0.082899995,1.89E-05,985.67554,0.001299456,0.07400143,0.089082666,0.16413671
0.2709022,1.4440495,0.011021306,0.082899995,1.82E-05,976.1453,0.0002946,0.06817492,0.0561431,0.1473111
0.13145894,0.8103141,0.005013835,3.1259837,1.73E-05,958.2851,0.0002946,0.06895616,0.063632615,0.14601669
0.28156224,1.1148134,0.004293478,0.082899995,1.69E-05,947.8498,0.0002946,0.072167926,0.040304754,0.17092788
0.27575338,1.6604853,0.009547844,2.9173427,1.72E-05,980.32666,0.01089509,0.066706,0.061033677,0.19653621
0.2579716,1.4455291,0.001822653,0.082899995,1.77E-05,1001.4897,0.0002946,0.06912232,0.11290365,0.15923285
0.18250704,1.051958,0.002820801,1.0094186,1.78E-05,989.0709,0.03482454,0.06622387,0.10593066,0.12036754
0.27438146,0.88025725,0.010186726,2.4753895,1.81E-05,922.9553,0.018637145,0.07091058,0.045565866,0.12030402
0.18190332,1.5840809,0.001707248,0.082899995,1.84E-05,999.1559,0.0002946,0.06632972,0.0627667,0.1526283
0.13497123,0.99993336,0.0003,6.549102,1.76E-05,978.41675,0.0002946,0.07626854,0.069188006,0.14555357
0.14441238,1.2787477,0.001062069,0.50901324,1.75E-05,948.8501,0.0002946,0.06914753,0.052315693,0.13655311
0.14292935,1.4744257,0.0003,4.1539693,1.75E-05,985.4906,0.010546961,0.07197723,0.05930696,0.13658871
0.1949239,1.1613766,0.007626527,0.57339686,1.79E-05,964.89417,0.001711745,0.070018545,0.058139063,0.18683954
0.23474069,1.1051013,0.008005086,0.3233467,1.78E-05,964.1387,0.0002946,0.07140593,0.07531553,0.15951213
0.23359682,1.624643,0.003781758,0.082899995,1.79E-05,927.3124,0.0002946,0.07247916,0.07827597,0.11642325
0.17406328,1.1169146,0.002970235,1.3581628,1.83E-05,912.6909,0.00151274,0.06274473,0.06047083,0.16393541
0.24146594,0.9756116,0.007404074,0.31685627,1.69E-05,1033.7262,0.005359021,0.06448665,0.08760482,0.1110049
0.2464879,1.7659125,0.004168351,0.082899995,1.70E-05,983.73474,0.0002946,0.067787096,0.06434427,0.17026727
0.25320503,0.86354166,0.009347356,0.082899995,1.79E-05,953.9362,0.0002946,0.070244014,0.059327196,0.19246562
0.25204742,1.0755447,0.004721149,0.082899995,1.85E-05,971.49634,0.0002946,0.06347038,0.07938839,0.14525473
0.24098715,1.0062894,0.003946117,0.082899995,1.85E-05,933.0423,0.0002946,0.07048844,0.06827891,0.1451313
0.22625434,0.7846699,0.012458466,0.75040835,1.74E-05,946.72504,0.0002946,0.06990508,0.067795366,0.14995866
0.21961424,1.0667236,0.005818977,0.082899995,1.75E-05,974.5159,0.0002946,0.07396372,0.07533182,0.14523347
0.26068702,1.2553636,0.009832983,0.082899995,1.80E-05,1027.384,0.018510299,0.070830256,0.069675975,0.15757096
0.14221886,1.3349856,0.007106359,0.082899995,1.83E-05,998.4095,0.0002946,0.064729795,0.058627438,0.13422556
0.18148133,1.3894205,0.0003,0.082899995,1.78E-05,962.29114,0.0002946,0.07048999,0.07846129,0.18940355
0.20914224,1.5614116,0.001938569,0.082899995,1.81E-05,978.0258,0.0002946,0.070401266,0.06920104,0.14666905
0.18138188,1.5231156,0.002088888,0.082899995,1.86E-05,1030.4656,0.0002946,0.06793836,0.064743206,0.21443628
0.15682706,1.2977735,0.00645863,0.082899995,1.73E-05,1014.5604,0.0002946,0.06826531,0.04713599,0.12266391
0.28852946,0.9045158,0.01182483,1.6036956,1.77E-05,915.8457,0.027198361,0.06730029,0.05499665,0.12781273
0.20206176,1.795321,0.000945764,0.082899995,1.77E-05,947.9863,0.0002946,0.07004459,0.10079616,0.17755896
0.18523903,1.7731572,0.005285147,4.45819,1.76E-05,990.962,0.0002946,0.06847798,0.063370846,0.1571186
0.18931249,0.93013287,0.00282914,0.082899995,1.78E-05,984.6513,0.0002946,0.07054471,0.08134867,0.167854
0.24658456,1.4685755,0.00139465,0.082899995,1.74E-05,1041.176,0.0002946,0.07074055,0.048939865,0.119374864
0.15324242,0.974996,0.010351111,0.082899995,1.89E-05,966.72375,0.0002946,0.07030884,0.07711506,0.15035108
0.27680984,1.0138295,0.015219067,1.6162897,1.82E-05,993.44495,0.003279137,0.06825337,0.071553975,0.17362458
