Column diameter (m),Liquid height (m),Sparger hole diameter (m),Density of gas (kg/m3),Viscosity of gas (Pa.s),Density of liquid (kg/m3),Viscosity of liquid (Pa.s),Surface tension of liquid (N/m),Superficial gas velocity (m/s),Gas holdup
0.385,0.594721535,0.001,1.18,1.82E-05,1000,0.0008,0.07092,0.069000013,0.227603238
0.095,0.85,0.003,1.18,1.81E-05,1203,0.00202,0.0381,0.047858538,0.105873307
0.385,0.302086122,0.025,1.18,1.82E-05,1000,0.000841096,0.071407737,0.232822605,0.215341916
0.15,2.284811849,0.000917793,1.18,1.81E-05,996.9082448,0.001005411,0.071536237,0.456690076,0.409370111
0.385,1.919967725,0.014,1.184,1.84E-05,1000,0.001,0.072,0.047197448,0.114972594
0.15,1.1505,0.0007,1.165,1.76E-05,997.1259165,0.000898185,0.072481409,0.099784196,0.199411858
0.385,0.509734511,0.014,1.184,1.84E-05,1000,0.001,0.072,0.078225949,0.093953501
0.12,0.3,0.0007,1.185,1.81E-05,1000,0.001,0.072,0.052922547,0.447367126
0.385,0.279189969,0.003,1.180619604,1.82E-05,1000,0.000907884,0.072,0.231375374,0.2748
0.254,0.75,0.001,1.18,1.81E-05,1252,0.5,0.063,0.019796281,0.027268604
0.154368636,1.13373314,0.000925713,2.437365146,1.78E-05,997.4562119,0.000937041,0.072,0.150449083,0.314376683
0.1016,0.743365326,0.0016,17,1.81E-05,870,0.028,0.029,0.082283314,0.18313412
0.385,1.983429653,0.001,1.18,1.82E-05,1000,0.000868435,0.071732193,0.045334493,0.141352843
0.16,2.115837801,0.001,1.185,1.81E-05,1000,0.001,0.072,0.048930653,0.153672919
0.110535672,2,0.001,1.160844234,1.81E-05,1014.366825,0.001191558,0.073374673,0.077752278,0.299250266
0.385,2.338573108,0.0015,1.184,1.84E-05,1000,0.001,0.072,0.163005263,0.213038566
0.143552298,0.44625944,0.000477798,1.183889907,1.81E-05,998.7779814,0.000922202,0.07114422,0.016707296,0.099657598
0.385,0.284783186,0.001167887,1.184,1.84E-05,1000,0.001,0.072,0.132301695,0.260288916
0.385,1.375437857,0.000981026,1.184,1.84E-05,1000,0.001,0.072,0.022682845,0.106881049
0.24,1.367986048,0.001,1.185,1.81E-05,997,0.00089,0.072,0.028422008,0.065553352
0.385,1.755269008,0.003,1.180444819,1.82E-05,1000,0.000903121,0.072,0.174024742,0.240144735
0.16,2.449321893,0.001,1.185,1.81E-05,1000,0.001,0.072,0.008102598,0.020278715
0.385,0.693760431,0.014,1.184,1.84E-05,1000,0.001,0.072,0.068169266,0.099014801
0.385,1.723762869,0.001082907,1.184,1.84E-05,1000,0.001,0.072,0.025404268,0.104565089
0.385,0.440859547,0.025,1.18,1.82E-05,1000,0.0008,0.07092,0.291997135,0.262020698
0.1,1.143698761,0.001474118,1.185,1.81E-05,998,0.0011,0.072,0.165697213,0.238258532
0.385,2.403734601,0.006,1.184,1.84E-05,1000,0.001,0.072,0.177208306,0.219595215
0.16,1.836411742,0.001,1.185,1.81E-05,1000,0.001,0.072,0.170851206,0.265438074
0.385,1.527742701,0.002635438,1.18,1.82E-05,1000,0.000816588,0.071116863,0.293806088,0.338621096
0.12,0.3,0.0007,1.185,1.81E-05,1000,0.001,0.072,0.063934612,0.496359264
0.385,1.754177354,0.001105212,1.18,1.82E-05,1000,0.000891,0.072,0.175274097,0.240652655
0.3,0.65,0.002,1.185,1.81E-05,997,0.00089,0.072,0.056412919,0.147955049
0.19,2.5,0.001,1.18,1.81E-05,1195.062757,0.037611777,0.062212156,0.061162221,0.091844688
0.09,0.9,0.00065,1.18,1.81E-05,774,0.0017,0.0291,0.01523821,0.054311881
0.19,2.5,0.001,1.18,1.81E-05,1137.4,0.0079,0.0636,0.077515585,0.172797745
0.385,0.302362964,0.025,1.18,1.82E-05,1000,0.000825671,0.071224664,0.23333131,0.214613014
0.15,2.7,0.0005,0.2,1.97E-05,1000,0.001,0.0728,0.07290467,0.100769618
0.385,1.842813426,0.014,1.184,1.84E-05,1000,0.001,0.072,0.133519458,0.202281494
0.160596516,1.263717759,0.001797184,1.151930326,1.81E-05,1000,0.001,0.072561393,0.165939052,0.222087664
0.385,1.362024466,0.014,1.184,1.84E-05,1000,0.001,0.072,0.060870914,0.115601706
0.446669165,2.613466255,0.002923135,1.180204974,1.81E-05,998.1024872,0.001,0.072,0.049940114,0.02463446
0.385,0.333986514,0.001,1.184,1.84E-05,1000,0.001,0.072,0.01975149,0.132520252
0.23,1.2,0.007,3.516441654,1.81E-05,684,0.00041,0.02,0.03690587,0.140770166
0.14,0.829658734,0.0055,1.185,1.81E-05,998,0.001,0.072,0.062858279,0.096921924
0.566248439,3.308217999,0.03764524,1.180627936,1.81E-05,1012.64524,0.001084302,0.072843016,0.092247923,0.191777005
0.1,1.143196706,0.001462927,2.860672211,1.81E-05,998,0.001064003,0.072,0.196025012,0.265574309
0.2,0.96,0.0016,0.75,1.81E-05,783,0.00086,0.0213,0.025439756,0.087636874
0.099846783,1.092339156,0.000576608,1.184846783,1.81E-05,783.2145036,0.002627283,0.026880491,0.099387239,0.331315141
0.160023508,1.201985915,0.001992007,1.140470162,1.81E-05,1000,0.001,0.072790597,0.173768072,0.223638607
0.385,1.678262701,0.014,1.184,1.84E-05,1000,0.001,0.072,0.063462585,0.128148934
0.385,0.273780145,0.001055018,1.184,1.84E-05,1000,0.001,0.072,0.174889213,0.288898322
1,2,0.009,1.184,1.84E-05,1000,0.000891,0.072,0.016427939,0.027054821
0.385,0.57886975,0.006,1.184,1.84E-05,1000,0.001,0.072,0.201320265,0.248182917
0.150499126,2.399119189,0.000509983,1.18,1.81E-05,1000,0.001,0.07276007,0.054197633,0.204189843
0.385,1.723053911,0.00136352,1.184,1.84E-05,1000,0.001,0.072,0.041003091,0.104943642
0.385,0.397842857,0.025,1.18,1.82E-05,1000,0.0008,0.07092,0.291997135,0.26196009
0.385,1.684705575,0.025,1.180770498,1.82E-05,1000,0.000911996,0.072,0.04673186,0.124829502
0.385,0.341049182,0.05,1.184,1.84E-05,1000,0.001,0.072,0.094253069,0.11415989
0.3,0.56,0.012,1.185,1.81E-05,997,0.00089,0.072,0.022992338,0.071700835
0.24,0.630281503,0.001,1.185,1.81E-05,997,0.00089,0.072,0.058340482,0.124582495
0.385,1.556797529,0.001,1.183280745,1.84E-05,1000,0.0009804,0.072,0.100033211,0.191267516
0.385,1.865605688,0.001425158,1.184,1.84E-05,1000,0.001,0.072,0.119342523,0.192389178
0.385,1.620886812,0.003564448,1.184,1.84E-05,1000,0.001,0.072,0.078963825,0.157972143
0.385,1.223647481,0.014,1.184,1.84E-05,1000,0.001,0.072,0.158071662,0.205400412
0.095,0.85,0.003,1.18,1.81E-05,891.4509573,0.000514885,0.024821216,0.077205993,0.191421854
0.2,7.23,0.001,1.12,1.81E-05,1004.395453,0.000984547,0.07277263,0.059600791,0.144796806
0.15,2.7,0.0005,13,1.81E-05,1462,0.000575,0.03,0.043507214,0.422396818
0.385,0.722869763,0.025,1.18,1.82E-05,1000,0.000818828,0.071143455,0.030820611,0.061200204
0.14,0.4,0.0005,1.185,1.81E-05,998.2783992,0.000913608,0.07092784,0.039744094,0.249929195
0.385,1.052092301,0.001,1.181276521,1.83E-05,1000,0.000925785,0.072,0.023007562,0.089127828
0.16,2.633658712,0.001003823,1.18,1.81E-05,1000,0.001,0.072,0.036622434,0.122095916
0.385,1.546852035,0.005917298,1.184,1.84E-05,1000,0.001,0.072,0.176847763,0.196474861
0.385,1.08929779,0.025,1.183903796,1.84E-05,1000,0.000997378,0.072,0.022338981,0.056928861
0.385,0.341655863,0.05,1.184,1.84E-05,1000,0.001,0.072,0.100241556,0.112600104
0.385,1.528452438,0.001,1.182071027,1.83E-05,1000,0.000947435,0.072,0.124514447,0.20600916
0.24,1.796444985,0.001,1.185,1.81E-05,997,0.00089,0.072,0.069280179,0.098163088
0.1,1.3,0.0043,5.748534606,1.81E-05,802.7061533,0.002271279,0.023616586,0.014092276,0.047516136
0.385,1.44570176,0.001154489,1.184,1.84E-05,1000,0.001,0.072,0.009510098,0.061221092
0.385,1.15766385,0.000891597,1.184,1.84E-05,1000,0.001,0.072,0.206500172,0.248281534
0.1,0.960942557,0.00160203,1.183261782,1.81E-05,1002.171723,0.0011,0.072347644,0.24287826,0.335022426
0.385,0.695790571,0.014,1.184,1.84E-05,1000,0.001,0.072,0.060797273,0.096367978
0.3,0.4,0.0254,1.18,1.81E-05,997,0.00089,0.072,0.0894771,0.167321111
0.385,2.173570562,0.002968758,1.184,1.84E-05,1000,0.001,0.072,0.077325247,0.193506624
0.15,2.7,0.0005,1.2,1.81E-05,740,0.00086,0.0235,0.075375119,0.194945519
0.385,1.475039305,0.000951382,1.184,1.84E-05,1000,0.001,0.072,0.005786871,0.042183264
0.17907639,0.519971373,0.000671388,1.18,1.81E-05,1347.272111,0.031900226,0.082507955,0.082625184,0.137355884
0.188803974,4.008970197,0.009769765,1.141196026,1.81E-05,999.9462984,0.001000209,0.07279701,0.219919283,0.283244831
0.096644738,0.998026451,0.003427632,1.55111876,1.81E-05,866.6710523,0.000639724,0.028567105,0.062618116,0.164722355
0.09,0.9,0.00065,1.18,1.81E-05,778.3378621,0.002269344,0.029208447,0.006323802,0.02309114
0.16,1.28,0.002,1.18,1.81E-05,1081.331262,0.002968588,0.069146936,0.045545086,0.218413637
0.14,0.4,0.0005,1.185,1.81E-05,997.8642382,0.000911358,0.070843212,0.033712286,0.214836592
0.385,0.66193163,0.025,1.184,1.84E-05,1000,0.001,0.072,0.100449768,0.140368491
0.385,1.620484977,0.006,1.184,1.84E-05,1000,0.001,0.072,0.076705964,0.158156561
0.154401248,2.444012477,0.000720062,1.182200624,1.81E-05,997.2006239,0.001008398,0.071384137,0.088616187,0.402273896
0.385,1.626456676,0.05,1.184,1.84E-05,1000,0.001,0.072,0.085709235,0.155073099
0.158,1.5,0.01,2.4950297,1.75E-05,1086,0.0015,0.075,0.105889186,0.330605993
0.385,0.666547154,0.001189587,1.184,1.84E-05,1000,0.001,0.072,0.295922858,0.29556299
0.385,1.247183843,0.014,1.184,1.84E-05,1000,0.001,0.072,0.151483563,0.201912681
0.15,2.7,0.0005,3.24,1.81E-05,740,0.00086,0.0235,0.051890343,0.243888508
0.25,2.2,0.001,1.18,1.81E-05,1000,0.001,0.072,0.037959553,0.074139781
0.385,1.791701452,0.025,1.183421782,1.84E-05,1000,0.000971089,0.071843881,0.157819386,0.224363763
0.385,2.014887894,0.025,1.18,1.82E-05,1000,0.0008,0.07092,0.050048179,0.127732332
0.385,0.903805728,0.003135102,1.180180136,1.82E-05,1000,0.000895909,0.072,0.152396361,0.217473659
0.385,1.170809993,0.002455953,1.184,1.84E-05,1000,0.001,0.072,0.152014509,0.239743273
0.385,1.662248134,0.001280078,1.182240626,1.83E-05,1000,0.000952057,0.072,0.29468264,0.280452266
0.16,2.000211468,0.001,1.185,1.81E-05,1000,0.001,0.072,0.077117444,0.199896629
0.162,1.572747198,0.001120572,1.18,1.81E-05,1000,0.001,0.072,0.048467399,0.131078306
0.1016,0.622516053,0.0016,1.13,1.81E-05,870,0.028,0.029,0.374231377,0.315915142
0.1016,0.812982431,0.0016,1.13,1.81E-05,870,0.028,0.029,0.04768016,0.106612459
0.385,0.277727811,0.000890752,1.184,1.84E-05,1000,0.001,0.072,0.241054158,0.278665414
0.1,1.1,0.0005,1.185,1.81E-05,783,0.0027,0.027,0.097290458,0.333269744
0.385,1.994169207,0.025,1.181328864,1.83E-05,1000,0.000927212,0.072,0.049831615,0.136686592
0.16,1.909059701,0.001,1.185,1.81E-05,1000,0.001,0.072,0.123568604,0.236383274
0.385,1.907805913,0.003957934,1.181277246,1.83E-05,1000,0.000925805,0.072,0.098539406,0.174087574
0.1,1.396933103,0.008119648,2.914284765,1.81E-05,998,0.001006319,0.072505523,0.221927249,0.273783945
0.156,0.554232214,0.0004,31.83340714,1.81E-05,1070.973794,0.00533531,0.053648276,0.028284629,0.134013517
0.385,0.884943715,0.002137164,1.184,1.84E-05,1000,0.001,0.072,0.179416945,0.233819085
0.1,0.698977779,0.01,1.087547019,1.96E-05,773.723557,0.000704813,0.02081863,0.113276614,0.334337476
0.12,0.3,0.0007,1.185,1.81E-05,1000,0.001,0.072,0.026809699,0.238247412
0.14,3.239406942,0.002,1.18,1.81E-05,1000,0.001,0.072,0.026089975,0.082291802
0.164006391,2.435015978,0.00067508,1.18,1.81E-05,999.2996804,0.001,0.072694952,0.260449057,0.278529394
0.385,0.866470174,0.00298913,1.18,1.82E-05,1000,0.000891,0.072,0.204170606,0.249838047
0.24,1.940547375,0.001,1.185,1.81E-05,997,0.00089,0.072,0.018640634,0.025855615
0.24,0.300407568,0.001,1.185,1.81E-05,997,0.00089,0.072,0.148373199,0.165557586
0.1,1.1,0.0005,1.185,1.81E-05,998,0.0011,0.072,0.104404921,0.224966049
0.385,1.197642769,0.002663712,1.18,1.82E-05,1000,0.000891,0.072,0.150818267,0.222308032
0.385,1.733849408,0.003,1.181061264,1.83E-05,1000,0.000919919,0.072,0.041513821,0.099285866
0.29273222,1.664116085,0.000711292,1.187832037,1.81E-05,997.817852,0.001081785,0.072,0.03832979,0.155986072
0.385,1.966187606,0.00259215,1.184,1.84E-05,1000,0.001,0.072,0.250800703,0.270442656
0.385,0.271313977,0.001,1.183480716,1.84E-05,1000,0.000974036,0.071859793,0.174099645,0.29531006
0.24,0.262747876,0.001,1.185,1.81E-05,997,0.00089,0.072,0.128731075,0.166863843
0.24,1.792833834,0.001,1.185,1.81E-05,997,0.00089,0.072,0.05991404,0.099968693
0.385,0.913060129,0.005953774,1.184,1.84E-05,1000,0.001,0.072,0.124970792,0.209504779
0.385,1.25348557,0.001,1.18,1.82E-05,1000,0.0008,0.07092,0.053323133,0.186044958
0.24,1.722315813,0.001,1.185,1.81E-05,997,0.00089,0.072,0.132903642,0.135384875
0.385,2.603575067,0.0015,1.184,1.84E-05,1000,0.001,0.072,0.029359743,0.111873099
0.385,1.624761991,0.002435101,1.182870202,1.83E-05,1000,0.000969213,0.072,0.288621238,0.296649457
0.15,1.1505,0.0007,1.165,1.76E-05,998.8303687,0.000893924,0.072195913,0.009378468,0.02758885
0.385,0.623568076,0.025,1.180653654,1.82E-05,1000,0.000908812,0.072,0.169527349,0.190157107
0.14,0.4,0.0005,1.18,1.81E-05,1410,0.0089,0.0919,0.081063723,0.147963627
0.385,1.528423283,0.001719037,1.184,1.84E-05,1000,0.001,0.072,0.140610106,0.206001995
0.24,0.510636409,0.001,1.185,1.81E-05,997,0.00089,0.072,0.00887384,0.023278022
0.14,0.4,0.0005,1.18,1.81E-05,1410,0.0089,0.0919,0.083484949,0.154218707
0.15,2.4,0.0005,1.18,1.81E-05,997.6325571,0.001004143,0.071971395,0.389407366,0.367965489
0.15,2.7,0.0005,0.2,1.97E-05,1000,0.001,0.0728,0.082844208,0.108141129
0.385,1.925562497,0.025,1.184,1.84E-05,1000,0.001,0.072,0.204204519,0.248004323
0.385,1.72902721,0.05,1.184,1.84E-05,1000,0.001,0.072,0.046768145,0.101788441
0.133709096,1.362239165,0.011256426,1.18,1.78E-05,1147.564877,0.0016759,0.075,0.066391287,0.14629292
0.385,2.166429494,0.025,1.18,1.82E-05,1000,0.000886143,0.071942359,0.001391095,0.062161234
0.385,1.697647389,0.006,1.184,1.84E-05,1000,0.001,0.072,0.045416224,0.118126568
0.24,0.583224994,0.001,1.185,1.81E-05,997,0.00089,0.072,0.141382522,0.190005702
0.385,1.621912908,0.05,1.184,1.84E-05,1000,0.001,0.072,0.090412876,0.157432263
0.385,0.347198928,0.025,1.182964701,1.83E-05,1000,0.000948235,0.071720469,0.066156065,0.098187064
0.385,1.281574701,0.002408979,1.181182041,1.83E-05,1000,0.000859102,0.071239151,0.29486854,0.334225384
0.385,1.762327736,0.025,1.184,1.84E-05,1000,0.001,0.072,0.029686156,0.084473769
0.385,0.956750463,0.000971027,1.184,1.84E-05,1000,0.001,0.072,0.060629519,0.171655401
0.15,2.7,0.0005,0.2,1.97E-05,740,0.00086,0.0235,0.02861668,0.081401142
0.14,0.553634111,0.002900533,1.184801066,1.81E-05,998.3580813,0.001,0.071972149,0.064516873,0.139049788
0.385,1.075798388,0.002146703,1.184,1.84E-05,1000,0.001,0.072,0.006789597,0.068588644
1,2,0.002468529,1.184,1.84E-05,1000,0.000891,0.072,0.011029611,0.022418125
0.159482744,2.369574084,0.000689655,1.18,1.81E-05,1000,0.001,0.07204138,0.130215661,0.2135087
0.385,0.276751496,0.001809053,1.184,1.84E-05,1000,0.001,0.072,0.206365602,0.281140169
0.14,0.4,0.0005,1.185,1.81E-05,997.2770928,0.000918615,0.070758436,0.018290352,0.112550325
0.385,0.718528118,0.087,1.184,1.84E-05,1000,0.001,0.072,0.061391695,0.066854859
0.385,1.20360017,0.001188,1.18,1.82E-05,1000,0.000808554,0.07102152,0.073027619,0.21843179
0.161675658,1.397728367,0.002490268,1.179594573,1.81E-05,999.8918861,0.000997324,0.072018109,0.199858328,0.226454185
0.14,0.4,0.0005,1.185,1.81E-05,997.4562744,0.000917719,0.070731559,0.018706129,0.112026228
