Column diameter (m),Liquid height (m),Sparger hole diameter (m),Density of gas (kg/m3),Viscosity of gas (Pa.s),Density of liquid (kg/m3),Viscosity of liquid (Pa.s),Surface tension of liquid (N/m),Superficial gas velocity (m/s),Gas holdup
0.199703141,7.059769736,0.010543212,1.088734865,1.81E-05,1024.077082,0.001504701,0.075419533,0.039744431,0.098837543
0.153861719,0.984542765,0.000438462,48.86781768,1.81E-05,874.1429044,0.007820896,0.025077081,0.048727665,0.143191014
0.09,0.752013613,0.011342871,1.111259967,1.81E-05,772.5350409,0.000879423,0.023447845,0.070002405,0.305879181
0.158988982,1.351533858,0.00047305,14.85239394,1.81E-05,881.990043,0.022143848,0.030230194,0.004467858,0.198778748
0.384625057,0.286309216,0.000942676,1.180316779,1.84E-05,1000.060913,0.000960323,0.071970588,0.130511184,0.216963658
0.385754156,1.918317069,0.001438114,1.186761539,1.84E-05,999.8640869,0.001014638,0.072027414,0.066073714,0.244618713
0.312429116,2.436589728,0.004946237,2.031132226,1.81E-05,1000.540946,0.001096393,0.072078684,0.079028303,0.32527202
0.149302901,2.304512537,0.001225297,1.179724674,1.81E-05,997.2844315,0.000940502,0.072059067,0.004879923,0.041680937
0.383662749,0.319825154,0.010640274,1.155677589,1.81E-05,1013.502612,0.000873931,0.071143933,0.214471129,0.378750859
0.1477939,2.392209082,0.000607081,1.185851696,1.81E-05,998.4729045,0.000862148,0.071955186,0.088331405,0.080717654
0.205369009,2.471320226,0.001219136,1.182924567,1.81E-05,1000.541831,0.000872095,0.071940837,0.000878646,0.060391109
0.0995538,2.580076336,0.0003,7.567732783,1.81E-05,778.7658047,0.001124467,0.024087702,0.041960727,0.216316585
0.20271801,1.051316475,0.000475187,1.177746542,1.81E-05,997.7305087,0.001045495,0.072116168,0.034533555,0.051470261
0.153104174,2.227773685,0.000312354,7.879827581,1.81E-05,755.2704177,0.001208526,0.068882421,0.047571734,0.351360701
0.099232185,1.196661072,0.004036763,1.173847545,1.81E-05,1033.098005,0.001181582,0.071763955,0.031472408,0.142973905
0.100515702,2.351341574,0.0004846,1.175002694,1.81E-05,998.1649334,0.001083456,0.071972602,0.067577692,0.214007012
0.384209244,0.386025627,0.002689564,1.177437026,1.82E-05,1000.946055,0.000871706,0.071837705,0.004294055,0.074420596
0.38454395,0.4942006,0.002875262,1.18523277,1.76E-05,999.9786744,0.000925895,0.071840574,0.163757142,0.278741908
0.384861385,0.277822508,0.001189134,1.178174678,1.84E-05,999.92361,0.000955655,0.071977595,0.021790889,0.158020488
0.093599076,2.589061897,0.00281337,1.142988863,1.81E-05,869.3412679,0.000898931,0.073389676,0.100770357,0.199756056
0.384637672,0.902521836,0.002904024,1.193992393,1.84E-05,999.8851207,0.000980768,0.07199364,0.004611333,0.200645038
0.151105572,2.35300611,0.001008755,1.180211233,1.84E-05,999.799687,0.001019227,0.071947596,0.064141294,0.242670893
0.300345392,1.732875913,0.012876085,1.142132633,1.81E-05,1010.495986,0.001413431,0.073255601,0.091551731,0.220248209
0.099673952,1.29707755,0.001321887,1.178028957,1.81E-05,998.969741,0.001151506,0.071635957,0.019399852,0.12624705
0.38404968,2.014593431,0.002795502,1.182400042,1.84E-05,999.913905,0.000926671,0.071979763,0.012610231,0.122745024
0.146868085,0.361769302,0.001648472,1.188253935,1.81E-05,999.5379287,0.00093572,0.071593142,0.000848203,0.038387738
0.385449964,0.324553502,0.000617635,1.185312116,1.84E-05,1000.116925,0.000945055,0.07156475,0.118428064,0.249382176
0.160595541,2.473474429,0.000654197,1.20946253,1.81E-05,1000.09582,0.001052961,0.071945679,0.009106635,0.22700372
0.100329643,0.887764809,0.012313978,1.134838407,1.81E-05,767.5613152,0.000872779,0.0187,0.007435588,0.066098975
0.384618177,1.249705605,0.087,1.180307882,1.84E-05,999.8594477,0.000897345,0.072024097,0.01078746,0.011890164
0.146017526,0.340484122,0.001098045,1.187882081,1.81E-05,996.9381294,0.001044682,0.070921302,0.071170388,0.239350887
0.169923151,2.462094126,0.000672095,1.180305566,1.81E-05,999.3817473,0.001073628,0.071935932,0.065331469,0.089902854
0.384728738,1.198238073,0.011406587,1.185118505,1.84E-05,1000.052073,0.000981735,0.071989649,0.026809372,0.066707905
0.093759718,1.325027606,0.002293532,1.124581642,1.81E-05,866.2830366,0.000946985,0.027741321,0.078050869,0.146497587
0.156876408,2.080502785,0.001432494,1.183365993,1.81E-05,1000.336815,0.000965473,0.072087769,0.02282381,0.162748123
0.150499301,2.111304371,0.000439863,1.189446481,1.81E-05,1001.039754,0.000933011,0.071588204,0.309098358,0.411108004
0.385206574,0.321658263,0.001416387,1.17635677,1.84E-05,999.9432096,0.000955614,0.071969735,0.348324475,0.285308818
0.386132072,1.178755333,0.002127639,1.180019187,1.84E-05,1000.17517,0.001025325,0.072035379,0.261198868,0.326575526
0.154928533,1.086079603,0.00115038,1.145202456,1.81E-05,872.5447345,0.025455106,0.026819802,0.163591741,0.115458223
0.094236118,1.224261605,0.004516229,1.168456281,1.81E-05,742.1733355,0.002287391,0.025844302,0.247701105,0.33690766
0.149950209,2.479929253,0.002145541,1.178853839,1.81E-05,998.6715289,0.000989561,0.071987654,0.047796676,0.109154428
0.384606419,1.397480917,0.000692798,1.184628236,1.84E-05,999.7675237,0.001002845,0.071943828,0.116679368,0.320244339
0.38401251,0.95604467,0.011567361,1.171682265,1.84E-05,998.422831,0.00099216,0.072123914,0.104880858,0.184779489
0.103356178,1.294599857,0.000843621,1.091612915,1.75E-05,997.1149828,0.000748212,0.071934042,0.023489298,0.24705577
0.384946003,0.717415641,0.002169382,1.186980757,1.82E-05,999.8561451,0.000915415,0.072013922,0.103011784,0.215624772
0.384544815,0.651172742,0.00094194,1.184331442,1.84E-05,999.7535992,0.001004212,0.071936083,0.039997681,0.139140386
0.384689721,2.293599707,0.002795526,1.180664996,1.84E-05,1000.149077,0.000961578,0.071969903,0.0003,0.062486373
0.384697751,1.661182063,0.001223248,1.184680583,1.82E-05,1000.194642,0.000876828,0.071631826,0.0003,0.073823763
0.385641528,2.179691037,0.001332826,1.175403749,1.82E-05,999.6484881,0.000982344,0.071904606,0.026884409,0.163778152
0.386941852,0.251193873,0.001291579,1.184359223,1.84E-05,999.9270701,0.001011586,0.071993322,0.132738335,0.35160072
0.158961103,0.644388327,0.001034688,1.147645235,1.81E-05,789.1197873,0.083111186,0.037065798,0.008640688,0.146002174
0.192867015,7.23,0.001129454,1.14216307,1.81E-05,1213.717556,0.024394532,0.046027136,0.029521368,0.106767841
0.384872713,1.303297931,0.087,1.16211402,1.84E-05,999.7636163,0.001021039,0.071974068,0.025821649,0.143339777
0.384992744,0.287297454,0.024309753,1.183262696,1.84E-05,999.8596961,0.000998015,0.072040838,0.374428099,0.287837859
0.09,1.082161891,0.013562125,1.155290978,1.81E-05,1014.163543,0.001107686,0.071872369,0.045415757,0.214642042
0.157394236,2.462727827,0.001573184,1.1777184,1.81E-05,1000.041549,0.001006119,0.072028544,0.150238548,0.260055048
0.385391855,1.28470254,0.001172656,1.181279906,1.84E-05,1000.003664,0.000958276,0.07195632,0.302877726,0.365118103
0.99233978,2.447136524,0.000459466,1.191194138,1.84E-05,1000.014733,0.000731336,0.071985404,0.026544299,0.045425028
0.385315844,0.873167817,0.014137106,1.179714112,1.84E-05,1000.024091,0.000966057,0.07200069,0.058866409,0.144694894
0.152685936,2.511097533,0.000329277,1.217456485,1.81E-05,998.2400934,0.001053779,0.071729086,0.032157258,0.3704611
0.095996683,0.724674975,0.001221541,1.117771674,1.81E-05,888.655438,0.025132354,0.051565473,0.017118142,0.094674337
0.187176249,0.70343848,0.003665246,1.167381892,1.81E-05,1136.454023,0.012717794,0.063076757,0.031085827,0.036778201
0.194829698,1.629213514,0.002554971,1.138433094,1.81E-05,999.0005073,0.017594421,0.071984456,0.021787997,0.020530203
0.384343698,1.165602737,0.000870113,1.18881318,1.84E-05,999.8500581,0.000944472,0.072001977,0.101355723,0.244494093
0.100403332,2.203221718,0.001110547,1.181644548,1.81E-05,999.4868959,0.001097263,0.071993381,0.038952197,0.123170204
0.103017617,1.033665109,0.001701268,1.182975209,1.81E-05,776.2067715,0.002290823,0.033779712,0.048114944,0.305774295
0.2408334,1.652753985,0.001389944,1.17965969,1.84E-05,998.678167,0.001003312,0.072016271,0.0310336,0.049256636
0.384612913,0.321946759,0.002368843,1.187746652,1.84E-05,999.8525333,0.00095886,0.071967718,0.22894784,0.25081062
0.15831114,0.891451606,0.000425021,47.83501166,1.81E-05,1070.618505,0.003586012,0.053729104,0.019112453,0.071500265
0.146913588,2.062392257,0.000497596,1.197076205,1.81E-05,997.5411579,0.000992983,0.071491176,0.040986924,0.313842331
0.151139145,1.287956804,0.002465542,1.180211808,1.84E-05,999.7214317,0.000948284,0.072039688,0.090516627,0.224859799
0.384705451,0.335108663,0.001105372,1.186445997,1.84E-05,999.9243981,0.001016635,0.071990977,0.064578989,0.21110195
0.0997809,0.884121752,0.001472326,1.14006314,1.81E-05,756.9145219,0.0002946,0.022853792,0.034583614,0.052176613
0.152241582,2.047383777,0.000938136,1.176079865,1.81E-05,998.7095912,0.001038481,0.071882079,0.063566362,0.202845252
0.10157147,0.327774688,0.000554932,1.181104542,1.81E-05,998.3372179,0.001011965,0.072507265,0.087031663,0.209751234
0.247516087,2.452696094,0.000704665,1.18432308,1.81E-05,1000.000073,0.000977579,0.072058439,0.010559895,0.018307092
0.383250123,0.30577132,0.007340315,1.182206717,1.84E-05,998.2205853,0.000965067,0.07197851,0.03315471,0.072204771
0.3839185,0.46034759,0.001425767,1.188140315,1.84E-05,998.9607204,0.001021469,0.072018195,0.064479088,0.10570742
0.149724754,1.568654769,0.002116553,1.167350842,1.77E-05,999.8094424,0.000906806,0.072062992,0.087159124,0.151862317
0.384762555,0.916869673,0.025042259,1.170474892,1.84E-05,999.4399749,0.000993885,0.071414834,0.078205653,0.213980988
0.387265912,0.335663947,0.001280315,1.182886643,1.84E-05,999.8926075,0.001005395,0.072086588,0.021079726,0.126131865
0.151275496,2.717511958,0.0003,1.185681197,1.81E-05,730.2823409,0.000578589,0.025597876,0.061220159,0.178449837
0.175166285,1.306968595,0.002171379,1.17227774,1.81E-05,999.1070535,0.000956418,0.071992894,0.071353691,0.23567116
0.099040079,1.022150738,0.001506108,1.161353125,1.81E-05,997.954654,0.001034786,0.071968475,0.226331544,0.295486155
0.385456832,1.621032426,0.012772377,1.187199613,1.84E-05,999.8126592,0.0010202,0.072071041,0.12930169,0.236462995
0.384823913,1.683981064,0.02466598,1.17219316,1.84E-05,1000.166652,0.00100777,0.071938549,0.0003,0.071882409
0.385194205,0.974352401,0.013765276,1.122951107,1.84E-05,1000.229217,0.001017788,0.072239551,0.166065528,0.254096615
0.154026306,0.880127662,0.000561301,45.72639412,1.81E-05,1111.069646,0.001206599,0.047353769,0.049129329,0.144914949
0.384708311,0.872431419,0.001271861,1.174341343,1.82E-05,999.9384122,0.00089577,0.07196956,0.074934241,0.235253864
0.384642502,1.941783344,0.001385498,1.183263172,1.84E-05,999.9873183,0.001019417,0.071936368,0.175627318,0.218831612
0.214394347,2.17763643,0.001363683,1.138263932,1.81E-05,1000.572887,0.000861448,0.071997884,0.020544614,0.030724219
0.150710452,2.417879208,0.000569485,2.02403614,1.82E-05,776.2315442,0.000938723,0.021354947,0.061850941,0.284537828
0.287175848,1.839659833,0.000753963,1.173815885,1.81E-05,999.4804721,0.001070486,0.072043417,0.211883334,0.275995137
0.243945231,1.897540109,0.00331838,1.18349948,1.84E-05,999.7788886,0.001042207,0.072016299,0.000903529,0.050177585
0.38459513,1.658377951,0.002690983,1.176394364,1.84E-05,999.8530288,0.000965652,0.0719528,0.0003,0.016607248
0.384998636,0.444296277,0.000526588,1.191724809,1.84E-05,997.7431178,0.000999035,0.071998085,0.050897032,0.142723195
0.155050717,2.482649679,0.001302658,1.170088211,1.81E-05,1000.422723,0.001022575,0.072475166,0.055268482,0.219851155
0.384795336,1.568216966,0.000647237,1.14395322,1.84E-05,997.5270915,0.001019972,0.071790797,0.239520665,0.281295944
0.145379908,1.47510825,0.002202334,1.177774546,1.81E-05,998.2875952,0.001053981,0.071896051,0.180814068,0.207136027
0.091030973,0.941721214,0.000528952,5.239597271,1.81E-05,781.5753885,0.000778431,0.02072823,0.104487218,0.354689232
0.385498324,1.179263086,0.024640241,1.183043545,1.84E-05,999.774043,0.000968451,0.07158306,0.301607672,0.218934291
0.147963,2.407888205,0.00055643,1.180102222,1.81E-05,999.3413792,0.00069964,0.072229366,0.076108819,0.12924601
0.145242625,2.403621074,0.000306807,17.73940421,1.81E-05,1073.679709,0.000832877,0.073026714,0.038162829,0.172318593
0.384251708,0.239720936,0.000680852,1.185169383,1.81E-05,998.4384247,0.000985469,0.071968789,0.220596448,0.301568403
0.383797617,0.293950388,0.001391792,1.18224882,1.84E-05,999.6092738,0.000975221,0.072357323,0.195844706,0.233783081
0.147072951,2.338003451,0.001673848,1.181293846,1.81E-05,1000.854661,0.000926634,0.071819049,0.023969581,0.071319854
0.161597874,2.305387814,0.001029105,11.81350483,1.81E-05,1104.806714,0.000974062,0.072516045,0.036706263,0.179400626
0.194084108,2.443916737,0.012272219,1.102525535,1.84E-05,999.1964054,0.001022738,0.071960451,0.054601523,0.172554043
0.384887463,2.436177361,0.025391715,1.183404674,1.84E-05,1000.119005,0.0009717,0.071975823,0.013737588,0.074840319
0.159300589,0.301948583,0.0003,1.190905203,1.81E-05,997.5919909,0.001052326,0.072080295,0.105515093,0.303767498
0.385928274,0.324284913,0.000809345,1.169421703,1.84E-05,999.88489,0.001004167,0.072022272,0.178119647,0.223715298
0.385240944,1.549911789,0.002518438,1.170726615,1.84E-05,1000.033009,0.000966155,0.071996572,0.181522546,0.247300629
0.38454894,1.856104954,0.000562297,1.175662005,1.82E-05,1000.120654,0.000817842,0.071961155,0.059133579,0.069013193
0.385027865,1.32203226,0.003354259,1.185147656,1.82E-05,1000.138761,0.000868252,0.071868287,0.020519463,0.084738444
0.09,0.67406284,0.000408887,1.231536706,1.81E-05,805.1712919,0.001034041,0.030288062,0.015919158,0.019645599
0.384997821,0.284646077,0.025356603,1.185632904,1.84E-05,997.5730908,0.000986855,0.071694439,0.112809487,0.202930735
0.156960241,2.026187774,0.009516897,5.235537999,1.81E-05,1106.752121,0.00126683,0.075607044,0.049809593,0.279890526
0.385706371,0.709668122,0.024329257,1.192432871,1.84E-05,999.8690442,0.00098285,0.071980836,0.053044645,0.126812421
0.096929989,1.213995771,0.002939285,5.522035339,1.81E-05,766.3402875,0.000846736,0.025934568,0.028610048,0.230735686
0.143743621,2.245700825,0.000860898,1.186550229,1.81E-05,999.6686401,0.001022469,0.072013851,0.054344231,0.121797466
0.993589483,2.155473449,0.002017265,1.17815766,1.84E-05,999.8201495,0.000901587,0.072005909,0.0003,0.0004
0.141160044,2.653325018,0.001007733,1.195696474,1.81E-05,998.7560231,0.000911686,0.071345885,0.051338818,0.36041162
0.145709678,2.051043175,0.000507449,1.188105503,1.81E-05,1000.954229,0.001030384,0.071903071,0.011471516,0.158259609
0.3854548,2.397373323,0.001291436,1.178905169,1.84E-05,1000.063544,0.000967952,0.071897628,0.01493956,0.114802162
0.315258765,2.089522808,0.006326593,7.118717051,1.81E-05,879.9782599,0.001164869,0.024160587,0.178250537,0.442709297
